,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record,evaluation,gold_standard
4,0.5100472813238771,0.7155887230514096,0.5955831608005522,0.5,0.4395658419792498,0.6776446270823593,0.5332378084791217,100,01-02-0017,record,union
5,0.46808510638297873,0.6567164179104478,0.546583850931677,0.6,0.4395658419792498,0.6776446270823593,0.5332378084791217,100,01-02-0017,record,union
6,0.36997635933806144,0.5190713101160862,0.43202208419599725,0.7,0.4395658419792498,0.6776446270823593,0.5332378084791217,100,01-02-0017,record,union
7,0.21513002364066194,0.3018242122719735,0.25120772946859904,0.8,0.4395658419792498,0.6776446270823593,0.5332378084791217,100,01-02-0017,record,union
8,0.06796690307328605,0.09535655058043117,0.07936507936507936,0.9,0.4395658419792498,0.6776446270823593,0.5332378084791217,100,01-02-0017,record,union
0,0.6394763343403826,0.5265339966832504,0.5775352432924057,0.1,0.512594590757436,0.444211225669923,0.47595921246036926,125,01-02-0017,record,union
1,0.6394763343403826,0.5265339966832504,0.5775352432924057,0.2,0.512594590757436,0.444211225669923,0.47595921246036926,125,01-02-0017,record,union
2,0.6374622356495468,0.5248756218905473,0.5757162346521146,0.3,0.512594590757436,0.444211225669923,0.47595921246036926,125,01-02-0017,record,union
3,0.6273917421953675,0.5165837479270315,0.5666211914506595,0.4,0.512594590757436,0.444211225669923,0.47595921246036926,125,01-02-0017,record,union
4,0.5770392749244713,0.47512437810945274,0.5211459754433833,0.5,0.512594590757436,0.444211225669923,0.47595921246036926,125,01-02-0017,record,union
5,0.4954682779456193,0.4079601990049751,0.4474761255115961,0.6,0.512594590757436,0.444211225669923,0.47595921246036926,125,01-02-0017,record,union
6,0.34944612286002014,0.2877280265339967,0.3155979990904957,0.7,0.512594590757436,0.444211225669923,0.47595921246036926,125,01-02-0017,record,union
7,0.1782477341389728,0.14676616915422885,0.16098226466575716,0.8,0.512594590757436,0.444211225669923,0.47595921246036926,125,01-02-0017,record,union
8,0.05639476334340383,0.04643449419568822,0.05093224192814915,0.9,0.512594590757436,0.444211225669923,0.47595921246036926,125,01-02-0017,record,union
0,0.6518151815181518,0.3275290215588723,0.4359823399558499,0.1,0.5137612898844576,0.26062649179359726,0.34582106218614694,150,01-02-0017,record,union
1,0.6518151815181518,0.3275290215588723,0.4359823399558499,0.2,0.5137612898844576,0.26062649179359726,0.34582106218614694,150,01-02-0017,record,union
2,0.6518151815181518,0.3275290215588723,0.4359823399558499,0.3,0.5137612898844576,0.26062649179359726,0.34582106218614694,150,01-02-0017,record,union
3,0.6188118811881188,0.31094527363184077,0.41390728476821187,0.4,0.5137612898844576,0.26062649179359726,0.34582106218614694,150,01-02-0017,record,union
4,0.5511551155115512,0.2769485903814262,0.3686534216335541,0.5,0.5137612898844576,0.26062649179359726,0.34582106218614694,150,01-02-0017,record,union
5,0.4158415841584158,0.208955223880597,0.2781456953642384,0.6,0.5137612898844576,0.26062649179359726,0.34582106218614694,150,01-02-0017,record,union
6,0.2755775577557756,0.1384742951907131,0.18432671081677704,0.7,0.5137612898844576,0.26062649179359726,0.34582106218614694,150,01-02-0017,record,union
7,0.13036303630363036,0.06550580431177445,0.08719646799116997,0.8,0.5137612898844576,0.26062649179359726,0.34582106218614694,150,01-02-0017,record,union
8,0.033003300330033,0.01658374792703151,0.022075055187637967,0.9,0.5137612898844576,0.26062649179359726,0.34582106218614694,150,01-02-0017,record,union
0,0.5945945945945946,0.16417910447761194,0.2573099415204678,0.1,0.4394608256107835,0.12835945766382048,0.19868593955321945,175,01-02-0017,record,union
1,0.5945945945945946,0.16417910447761194,0.2573099415204678,0.2,0.4394608256107835,0.12835945766382048,0.19868593955321945,175,01-02-0017,record,union
2,0.5945945945945946,0.16417910447761194,0.2573099415204678,0.3,0.4394608256107835,0.12835945766382048,0.19868593955321945,175,01-02-0017,record,union
3,0.5585585585585585,0.15422885572139303,0.24171539961013644,0.4,0.4394608256107835,0.12835945766382048,0.19868593955321945,175,01-02-0017,record,union
4,0.47147147147147145,0.13018242122719734,0.20402858999350226,0.5,0.4394608256107835,0.12835945766382048,0.19868593955321945,175,01-02-0017,record,union
5,0.32732732732732733,0.09038142620232173,0.14165042235217673,0.6,0.4394608256107835,0.12835945766382048,0.19868593955321945,175,01-02-0017,record,union
6,0.18618618618618618,0.05140961857379768,0.08057179987004548,0.7,0.4394608256107835,0.12835945766382048,0.19868593955321945,175,01-02-0017,record,union
7,0.08108108108108109,0.022388059701492536,0.03508771929824562,0.8,0.4394608256107835,0.12835945766382048,0.19868593955321945,175,01-02-0017,record,union
8,0.018018018018018018,0.004975124378109453,0.007797270955165691,0.9,0.4394608256107835,0.12835945766382048,0.19868593955321945,175,01-02-0017,record,union
0,0.5053191489361702,0.07877280265339967,0.13629842180774748,0.1,0.34690055210007686,0.061071876768621275,0.10385931141263981,200,01-02-0017,record,union
